date,supplier,kg_score,Em_Score,twitter_alert,weather_risk,economic_risk,geo_risk,tech_risk,downtime_hours,high_disruption_p
1/1/2025,JHH,0.442710762,0.552985007,1,0,1,0,0,5.1,0.866601624
1/2/2025,JHH,0.599101098,0.509835178,0,1,0,0,0,7.2,0.847656893
1/3/2025,JHH,0.372080079,0.532828741,0,0,0,0,0,1,0.746923707
1/4/2025,JHH,1.167821757,0.571555643,0,0,0,0,0,1.8,0.960244643
1/5/2025,JHH,0.071729985,0.591890932,1,1,0,0,0,7.7,0.752697715
1/6/2025,JHH,0.618255857,0.569171275,0,0,0,0,0,3.4,0.862542285
1/7/2025,JHH,0.601325473,0.442251321,0,1,0,1,0,10.8,0.835475563
1/8/2025,JHH,0.244869804,0.449591842,0,0,0,0,0,0.8,0.634635218
1/9/2025,JHH,0.047709181,0.400502782,1,0,0,0,0,5.6,0.630072979
1/10/2025,JHH,0.092683764,0.692610003,0,0,0,0,0,1.1,0.686807153
1/11/2025,JHH,0.316763949,0.40612928,0,0,0,0,0,2.4,0.658188753
1/12/2025,JHH,0.51653577,0.502921491,0,0,0,0,0,3.4,0.804811629
1/13/2025,JHH,0.032394415,0.439270062,0,0,0,0,0,1,0.494790486
1/14/2025,JHH,0.047410845,0.639425481,0,0,1,0,0,6.1,0.654547909
1/15/2025,JHH,0.810563116,0.5179591,0,0,0,0,0,4.5,0.901260168
1/16/2025,JHH,0.40136424,0.618815902,0,0,0,0,0,1.9,0.800344736
1/17/2025,JHH,0.10343899,0.493922572,0,0,0,0,0,0.7,0.576251458
1/18/2025,JHH,0.348340102,0.5442555,0,0,0,0,0,0,0.737204469
1/19/2025,JHH,0.84276965,0.448457783,0,0,0,1,0,10.6,0.903790422
1/20/2025,JHH,0.594674588,0.781642345,0,0,0,0,0,7.4,0.91596866
1/21/2025,JHH,0.34406675,0.431397534,0,0,0,0,0,2.9,0.689259722
1/22/2025,JHH,0.17585799,0.578439782,0,0,1,0,0,1.9,0.673431033
1/23/2025,JHH,1.19166903,0.618229004,0,0,0,0,0,6.3,0.969253353
1/24/2025,JHH,0.850473784,0.585890791,1,0,0,0,0,12.9,0.958865808
1/25/2025,JHH,1.012647573,0.545905127,0,0,0,0,0,7,0.944610454
1/26/2025,JHH,0.647689315,0.499527119,0,0,0,0,0,4.6,0.853214805
1/27/2025,JHH,0.457949952,0.532058016,0,0,0,0,0,4.5,0.796574355
1/28/2025,JHH,0.652946718,0.465708581,0,0,0,0,0,5,0.84509516
1/29/2025,JHH,0.256902757,0.675644648,0,0,0,1,1,12,0.797601167
1/30/2025,JHH,1.079797566,0.638006325,1,0,0,0,0,9.4,0.977741247
1/31/2025,JHH,0.115393888,0.505493419,0,0,0,0,0,2.4,0.5987401
2/1/2025,JHH,1.162554956,0.4111001,0,0,0,0,0,6.6,0.946146888
2/2/2025,JHH,0.847660328,0.483448622,1,0,0,0,0,11.5,0.945719059
2/3/2025,JHH,0.267739911,0.697710485,0,0,0,0,0,2.6,0.77999307
2/4/2025,JHH,0.276322092,0.479790087,0,0,0,0,0,2.9,0.678803902
2/5/2025,JHH,0.13510248,0.629001173,0,0,0,0,0,1.8,0.678363037
2/6/2025,JHH,0.845831699,0.658726429,1,0,0,0,0,7.4,0.961186313
2/7/2025,JHH,0.121348448,0.513616382,0,0,0,0,0,2.6,0.608118931
2/8/2025,JHH,0.61353602,0.580083313,0,0,0,0,0,5.6,0.869443621
2/9/2025,JHH,0.082953098,0.706844072,0,0,0,0,0,2.6,0.695612867
2/10/2025,JHH,0.675086753,0.470528175,0,0,0,0,0,4.9,0.853464637
2/11/2025,JHH,0.756671378,0.533283771,1,0,0,0,0,8,0.936129001
2/12/2025,JHH,0.887726162,0.496617792,0,1,1,0,0,8.4,0.919001706
2/13/2025,JHH,0.236654895,0.489211094,0,0,0,0,0,2.8,0.661652042
2/14/2025,JHH,0.472207248,0.485592312,0,0,0,0,0,3.6,0.780142828
2/15/2025,JHH,0.667314959,0.461737003,0,0,0,0,0,5.4,0.849492974
2/16/2025,JHH,0.055432273,0.453243267,1,0,0,0,0,3.5,0.655135127
2/17/2025,JHH,1.091676053,0.504655446,1,0,0,0,0,8,0.969255846
2/18/2025,JHH,0.680128466,0.569578315,0,0,0,0,0,0.8,0.874381468
2/19/2025,JHH,0.722998207,0.390808146,0,0,0,0,0,5.9,0.845863038
2/20/2025,JHH,0.107155071,0.57224546,0,0,0,0,0,1.5,0.629133503
2/21/2025,JHH,1.046388384,0.547704869,1,0,0,0,0,10.2,0.970379862
2/22/2025,JHH,0.362133984,0.39421088,1,0,0,0,0,5.3,0.785306416
2/23/2025,JHH,0.528115378,0.602041337,1,0,0,0,0,11.3,0.913044791
2/24/2025,JHH,0.016003494,0.626887103,1,0,0,0,1,5,0.732477019
2/25/2025,JHH,0.59790413,0.371461045,0,0,0,0,0,4.9,0.789416686
2/26/2025,JHH,0.043797187,0.642677721,0,1,0,0,0,3,0.640189626
2/27/2025,JHH,0.332558529,0.513931719,0,0,1,1,0,8.4,0.747292809
2/28/2025,JHH,0.335072378,0.528122732,0,0,0,0,0,3.7,0.737301086
3/1/2025,JHH,0.471033793,0.489205856,1,0,0,0,0,9.6,0.869051597
1/1/2025,DMEC,0.83977686,0.000108375,0,0,0,1,0,11,0.753935493
1/2/2025,DMEC,0.240949815,0.00010114,0,0,0,1,1,8.4,0.394276156
1/3/2025,DMEC,0.639063098,0.000108081,1,0,0,0,0,11,0.75360417
1/4/2025,DMEC,0.504966523,0.021907215,0,0,0,0,0,6.3,0.560498231
1/5/2025,DMEC,0.520998338,0.003721937,0,0,0,0,0,4,0.547803713
1/6/2025,DMEC,0.256756143,7.88E-05,0,0,0,0,0,2.3,0.374745261
1/7/2025,DMEC,0.856228518,0.008977599,0,0,0,0,0,8.2,0.755287662
1/8/2025,DMEC,0.366622952,8.64E-05,0,1,0,0,0,4.9,0.453825312
